TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,40.24537418,50,0,0,50
2,20000.00009,0.474950247,1.500000001,0.501514799,40.23824124,50.00000001,0,0,49.99999984
3,19985.86858,0.475213405,1.497958943,0.502069468,40.23753605,50.00000002,0,0.341587099,50.02351469
4,20014.6635,0.475551735,1.502732471,0.503337064,40.44865095,50.00198167,0,0.474996516,49.97650435
5,20037.27592,0.476028176,1.505096817,0.499594791,40.51776456,50.00409615,0,0.772221333,49.93793881
6,20080.54643,0.475658825,1.509566378,0.499707798,40.54362487,50.00570449,0.053307408,0,49.86355103
7,20185.66309,0.475363536,1.52270067,0.504094866,40.64662969,50.00921399,0.03005299,0,49.68348193
8,20291.21966,0.475920349,1.532979634,0.506491134,40.89393227,50.01293054,0,0.957623897,49.49595337
9,20364.10236,0.476822677,1.537231419,0.505470768,40.82402824,50.01775403,0,1.520504105,49.35603849
10,20373.25533,0.477365114,1.534061279,0.503078752,40.77998074,50.02619188,0,1.326112812,49.31750539
11,20430.73614,0.477381034,1.54216074,0.502522484,40.46729274,50.03593192,0,0.816802384,49.19796899
12,20403.50096,0.477219615,1.536850881,0.502608496,40.31179137,50.04510917,0,0.708297082,49.21572122
13,20394.22782,0.477185289,1.536468871,0.505842037,40.30677205,50.05226116,0,0.74156637,49.20532765
14,20511.90682,0.477798138,1.556987291,0.508995105,40.02870724,50.06210202,0,1.485076587,48.98427922
15,20563.97041,0.478756226,1.560568996,0.510783415,39.80004025,50.06931328,0,2.228224739,48.86488337
16,20605.68081,0.479932789,1.562395679,0.508240753,39.7822482,50.0770975,0,2.68096169,48.75938316
17,20611.72189,0.480387186,1.561774127,0.504651611,39.69176036,50.09160945,0,2.166900219,48.71056723
18,20651.92434,0.480056544,1.568374814,0.508672665,39.61632048,50.10464467,0,1.402872756,48.60452016
19,20695.82723,0.480553856,1.574938979,0.509341558,39.45166305,50.11722144,0,2.335204377,48.48974259
20,20651.53624,0.481065627,1.566402836,0.508918005,39.37016791,50.1293081,0,2.533739399,48.51890985
21,20601.50073,0.481490991,1.561136752,0.508925649,39.49661968,50.14344857,0,2.489606808,48.56047062
22,20517.45023,0.481851814,1.553174568,0.511062326,39.30386311,50.15881683,0,2.540379376,48.6618346
23,20577.92199,0.482606027,1.568843953,0.506071824,39.16930922,50.17072055,0,3.071291236,48.52809278
24,20641.98349,0.482057189,1.578570356,0.50447022,39.0358608,50.18220755,0,2.006775902,48.38450743
25,20752.63451,0.481273338,1.591453232,0.504130475,39.17764042,50.19236437,0,1.679009243,48.1592972
26,20754.87884,0.48053201,1.585839851,0.500895768,39.1335222,50.20862323,0,1.626982953,48.10739402
27,20710.37947,0.47939661,1.577432218,0.500619475,39.41239045,50.22619608,0,0.92027397,48.13312872
28,20503.63799,0.478497796,1.549562032,0.498587842,39.29263504,50.24592275,0,0.862896756,48.43168226
29,20361.63127,0.477559377,1.539813789,0.498910751,39.38600963,50.26198672,0,0.408170606,48.63574861
30,20267.50615,0.476838095,1.537782877,0.496896833,39.49994986,50.27571926,0,0.473219767,48.76922841
31,20080.88692,0.475807215,1.516504715,0.496528096,39.59065362,50.28223342,0,0.013090308,49.06264242
32,20126.21109,0.475049852,1.532831525,0.49463583,39.69504428,50.2898461,0.087127348,0,48.98204623
33,20271.00883,0.473839354,1.55632172,0.493508498,39.64868636,50.29925603,0.532928736,0,48.73302528
34,20447.11829,0.47249849,1.573649926,0.494296522,39.71998451,50.30301023,0.816645127,0,48.42263457
35,20468.48285,0.471549163,1.564585499,0.494494902,39.66547231,50.31522567,0.67464882,0,48.35846839
36,20397.0407,0.470989574,1.549454556,0.496918488,39.69255676,50.33325981,0.661283333,0,48.44736521
37,20264.00372,0.471139173,1.534182631,0.495774667,39.61028841,50.35299102,0.145042728,0,48.64332815
38,20140.64539,0.471096662,1.524798855,0.497726335,39.437852,50.36692654,0.419922757,0,48.83170017
39,20027.56084,0.471458273,1.51703022,0.495970333,39.44903382,50.37660067,0.003060989,0,49.01087156
40,19933.01326,0.471402112,1.510312214,0.498731803,39.3990866,50.38364259,0.411544583,0,49.16643483
41,19810.39661,0.471914298,1.498056296,0.497123859,39.10235736,50.39028376,0,0.189003874,49.37475609
42,19734.10416,0.472057848,1.493141425,0.495678589,38.8437883,50.39655978,0.180562694,0,49.51384134
43,19661.51118,0.471859147,1.487366733,0.497879293,38.64805869,50.40245628,0.52228983,0,49.6516534
44,19585.18968,0.472148225,1.479710011,0.497151359,38.2624171,50.40595337,0.049798809,0,49.80031565
45,19603.35806,0.472260713,1.485751656,0.498488857,38.16303384,50.41013046,0.225611935,0,49.79663134
46,19638.73634,0.472523346,1.490348258,0.495600429,38.24643497,50.41374637,0,0.060326347,49.76314696
47,19610.38465,0.472128789,1.482851436,0.496420323,38.3460493,50.41607686,0.599325304,0,49.83344505
48,19638.34254,0.472058979,1.486345585,0.495846422,38.44311373,50.42177066,0.438636854,0,49.8118585
49,19616.72626,0.471831087,1.482227488,0.494149481,38.69410694,50.4283711,0.587739905,0,49.87097407
50,19507.33172,0.471351688,1.466479857,0.4902596,38.7021055,50.43165698,0.993244639,0,50.0775361
51,19483.55374,0.470308175,1.46766236,0.487821964,38.8117009,50.43688983,1.902590784,0,50.14863343
52,19397.73865,0.468903354,1.45840445,0.486600426,38.55923075,50.44019848,2.505849823,0,50.3244823
53,19394.96328,0.467600437,1.460752834,0.486445694,38.46307711,50.43850723,2.848285772,0,50.36764523
54,19464.09708,0.466460799,1.471254082,0.487224537,38.32759985,50.439444,2.956875534,0,50.29132895
55,19535.40476,0.465609512,1.476897958,0.484508914,38.61346527,50.43739674,2.855795079,0,50.20697076
56,19588.63924,0.464378021,1.47860559,0.486913177,38.55207672,50.43743834,3.538433236,0,50.14812268
57,19706.54072,0.463890172,1.491015587,0.483111704,38.72297036,50.44078267,3.08147284,0,49.9782617
58,19761.90434,0.462651068,1.492481144,0.483937025,38.6002529,50.44423525,4.010682553,0,49.90491803
59,19864.10409,0.461869681,1.502131894,0.484657398,38.53191732,50.44680216,3.917458198,0,49.75009577
60,19879.37592,0.461331227,1.499249013,0.486355191,38.68316988,50.45260088,3.843360463,0,49.73338078
61,19899.63721,0.461310299,1.499743418,0.487212513,38.76116862,50.45659937,3.544892581,0,49.70738593
62,19866.83879,0.461463684,1.494673157,0.488310634,38.65069319,50.46276244,3.426612884,0,49.76838573
63,20012.81223,0.461851435,1.517592825,0.48672017,38.45782039,50.46621158,3.24931785,0,49.53400825
64,20042.63441,0.461639573,1.516458945,0.487289993,38.26498154,50.4696406,3.672258916,0,49.48356415
65,20021.61752,0.461679282,1.508524971,0.488288063,38.33066754,50.47117743,3.616802898,0,49.51580766
66,20016.30954,0.461992952,1.508899365,0.490881995,38.38993483,50.4805179,3.461643111,0,49.52325662
67,20110.98231,0.462732111,1.524463214,0.493604105,38.44171735,50.48634334,2.941127097,0,49.36467731
68,20195.40608,0.463741511,1.533206134,0.493815204,38.46032827,50.48903635,2.377440225,0,49.21709328
69,20244.96124,0.464582916,1.534690894,0.49749245,38.41401552,50.49290579,2.365014979,0,49.12212752
70,20244.91453,0.466029794,1.531387899,0.499227815,38.75920568,50.50174433,1.56981234,0,49.10652773
71,20303.31138,0.467580781,1.540334883,0.499174163,38.67066685,50.51123089,1.192278965,0,48.99368083
72,20362.49805,0.468736596,1.547885022,0.49975569,38.71373408,50.519567,1.208624533,0,48.87578229
73,20416.84044,0.469755129,1.55287199,0.5009037,38.55218746,50.52633274,1.082032468,0,48.76215668
74,20364.13428,0.470801305,1.542066084,0.497558912,38.27030063,50.53615562,0.82449974,0,48.82318193
75,20328.95063,0.471084669,1.539026051,0.498704481,38.14449965,50.54714873,1.573779217,0,48.85842293
76,20278.98313,0.471532939,1.535642822,0.495834524,38.5637583,50.55831388,1.3288793,0,48.92051601
77,20220.62816,0.471326267,1.530405827,0.500081268,38.28003704,50.56521519,1.983180084,0,48.99976376
78,20096.56008,0.472034842,1.515959208,0.503506072,38.12044775,50.57237799,1.048449327,0,49.19209284
79,19942.10444,0.473375283,1.500082355,0.50284985,38.06470454,50.57927411,0.275709108,0,49.44292719
80,19785.29223,0.474379377,1.486572593,0.504763751,37.96519192,50.5853304,0.404403789,0,49.70756801
81,19699.18123,0.475593586,1.483526728,0.505202964,38.18033786,50.58795696,0,0.042855227,49.86459803
82,19794.21055,0.476598745,1.503223699,0.502305484,38.81331827,50.58802028,0,0.168098296,49.72572163
83,19895.22639,0.476624853,1.513681396,0.502498349,38.66433919,50.58675923,0.456667219,0,49.5708018
84,20042.44128,0.476664278,1.5268245,0.503973548,38.85112493,50.5872638,0.400495875,0,49.33254174
85,20117.0928,0.476940899,1.52858243,0.50725288,39.06684607,50.59529854,0.054097652,0,49.20560537
86,20048.07344,0.477871486,1.512331798,0.506561469,39.12792394,50.60427641,0,0.707246197,49.31295964
87,19872.67809,0.478638845,1.489547627,0.504361946,39.01887424,50.61547374,0,0.591223896,49.60174081
88,19695.35928,0.478945801,1.474314334,0.505340523,39.11327364,50.62489848,0,0.131319582,49.9049479
89,19579.4685,0.479409501,1.469389217,0.503652252,39.23096728,50.62816697,0,0.375979405,50.11728717
90,19553.92379,0.479393685,1.47344509,0.503852253,39.19061967,50.62609778,0,0.02464719,50.18670757
91,19400.96489,0.479338214,1.453995698,0.503091789,39.33789926,50.62272794,0,0.089834737,50.46978007
92,19183.65203,0.479306436,1.429545716,0.501898215,39.1540377,50.62082574,0.06046241,0,50.86972692
93,19082.86172,0.479166905,1.426465442,0.501772958,38.82289743,50.62179173,0.312608627,0,51.08968827
94,19096.54477,0.478923553,1.435026259,0.503319388,38.49374186,50.61606826,0.330413873,0,51.12561652
95,19177.48685,0.478913087,1.444880338,0.504844613,38.25560761,50.60492513,0,0.028057438,51.04875003
96,19236.23851,0.479140943,1.446798299,0.5037523,38.18430191,50.5972289,0,0.390252295,51.0036281
97,19309.04594,0.479127907,1.45081776,0.50459343,38.23843067,50.59393721,0,0.170581139,50.93135728
98,19483.24145,0.479265825,1.469583663,0.506216485,38.31945776,50.5930587,0,0.38089342,50.68571701
99,19713.32637,0.479560613,1.49229475,0.50874797,38.46472148,50.59114222,0,0.772156269,50.33592826
100,19825.17036,0.480197757,1.494099109,0.50835306,38.47461524,50.58986265,0,1.377196841,50.16816696
101,19987.80696,0.480731448,1.508010911,0.50809807,38.30594565,50.59401458,0,1.336258405,49.90872877
102,20036.10426,0.481033093,1.507061176,0.507772684,38.4953226,50.60245782,0,1.324700113,49.82914241
103,20019.1366,0.481290167,1.500349498,0.507029538,38.74049323,50.60722682,0,1.295864948,49.85506592
104,20133.9134,0.481423212,1.51861967,0.509072706,38.69796533,50.61505342,0,1.171035215,49.66285259
105,20139.33145,0.481770044,1.516015033,0.51090469,38.99144912,50.61997134,0,1.670432067,49.6452665
106,20040.66989,0.482506068,1.499485436,0.511211776,39.27363419,50.62205925,0,2.133444426,49.80052211
107,20027.04514,0.48329971,1.502761396,0.511625838,39.07018444,50.63076964,0,2.262667971,49.82059083
