TIME1,FT101,PI101,PI102,PT101,TT101,LV101,PV101A,PV101B,FV101
1,20000,0.475,1.5,0.5,40,50,0,0,50
2,20000,0.475,1.5,0.5,39.94164147,50,0,0,50
3,20000.00009,0.474950247,1.500000001,0.496311121,39.91216011,50.00000001,0,0,49.99999984
4,19983.77346,0.47417267,1.497554317,0.495629741,39.79441057,50.00000002,0.831842247,0,50.02700096
5,19913.29863,0.473434552,1.488131866,0.49835239,39.92083141,50.00186851,1.005782213,0,50.14530958
6,19898.75592,0.473456982,1.489436423,0.500472264,40.02275239,50.00374703,0.415861256,0,50.17505753
7,19733.7401,0.473846101,1.468433868,0.500257934,40.2144722,50.0049148,0,0.053108347,50.45612348
8,19633.80831,0.474287338,1.461132388,0.498416681,40.00252051,50.00349258,0,0.0073744,50.63945061
9,19522.03123,0.474241763,1.45292585,0.501001962,39.88292904,50.00408732,0.406409465,0,50.84888394
10,19465.35264,0.474736414,1.450583778,0.500345805,39.74597435,49.997916,0,0.167863208,50.97378711
11,19407.16108,0.474968986,1.445902465,0.500671951,39.69143537,49.99267226,0,0.025410491,51.10483529
12,19376.75101,0.475232188,1.443717261,0.496943462,39.61599373,49.98665371,0,0.10085835,51.19337934
13,19329.42719,0.474684455,1.438307636,0.499623156,39.66509896,49.98164349,0.736220071,0,51.31201413
14,19203.85094,0.474808809,1.422955139,0.498610912,39.65568795,49.97590302,0.148760184,0,51.56388966
15,19116.32956,0.474812358,1.416166585,0.498807989,39.47818257,49.97044131,0.379093784,0,51.76047877
16,19021.75171,0.474836145,1.408657055,0.496123437,39.35001446,49.9637255,0.342292909,0,51.97441123
17,18922.32766,0.474334312,1.399655151,0.493812651,39.3428843,49.95258513,0.954215391,0,52.20246073
18,18887.57792,0.473502767,1.399095039,0.494233561,39.02185521,49.94166161,1.49661868,0,52.32925533
19,18716.83038,0.472866329,1.379416025,0.496147018,39.16166343,49.92959997,1.435734071,0,52.68457425
20,18709.17185,0.472906261,1.383510569,0.49614961,39.32632778,49.9157727,1.035964934,0,52.77944091
21,18838.89353,0.472793501,1.401711407,0.499918319,39.64344211,49.90360285,1.05657186,0,52.64619703
22,19085.94293,0.473274197,1.426091164,0.500866613,39.68087684,49.88451503,0.227905083,0,52.30941764
23,19205.59919,0.473699772,1.427185625,0.500699433,40.04780766,49.87049346,0.0145139,0,52.16880928
24,19375.36334,0.474120091,1.438425344,0.499998775,40.13544367,49.86329577,0.047446581,0,51.93716337
25,19636.09246,0.474249105,1.464139849,0.504235643,40.09358511,49.86191668,0.201598258,0,51.54328687
26,19684.85599,0.475035433,1.456909159,0.503180307,40.38694878,49.85635381,0,0.753808844,51.48543444
27,19690.40382,0.47565132,1.450898959,0.503823415,40.42308138,49.85354757,0,0.539126661,51.49637207
28,19745.66342,0.476329571,1.458672214,0.503354905,40.28386923,49.85738205,0,0.701639084,51.42423425
29,19744.29264,0.476688777,1.45699889,0.503346324,40.18573856,49.85398147,0,0.617018979,51.44279277
30,19691.43796,0.477022165,1.449069578,0.502301943,40.06971637,49.84847458,0,0.63353576,51.54710823
31,19643.86808,0.477149359,1.44509967,0.499755154,40.1512441,49.84648346,0,0.416432618,51.64601249
32,19826.93702,0.476740138,1.47314381,0.501644572,40.07040988,49.84276386,0.145207507,0,51.36417821
33,20036.2102,0.476520013,1.494958808,0.499445444,40.27818056,49.83632505,0,0.2795095,51.02702366
34,20144.30871,0.475828932,1.496209386,0.501913691,40.46150408,49.82986498,0.207348602,0,50.8448303
35,20103.4683,0.475877952,1.482121083,0.499278788,40.44922302,49.8338755,0,0.346191067,50.90355298
36,20153.84699,0.475547508,1.490092216,0.499840598,40.58457455,49.84126826,0.237454205,0,50.81310087
37,20252.61384,0.475284638,1.504511204,0.502060286,40.47462134,49.84494306,0.114732733,0,50.63890662
38,20461.6202,0.475425798,1.530014887,0.502258245,40.46749654,49.84278865,0,0.38493018,50.27495274
39,20497.95738,0.475438195,1.524576352,0.502909335,39.92934603,49.84506071,0,0.44090146,50.18494399
40,20443.41776,0.475742991,1.511659995,0.498222764,40.11232973,49.85124196,0,0.600142694,50.24382865
41,20462.46347,0.475168401,1.518261027,0.498198697,40.06082739,49.86338231,0.44067792,0,50.18375786
42,20453.51426,0.474605313,1.519127042,0.499279413,40.16682815,49.86969635,0.455879738,0,50.16905168
43,20329.66733,0.474385135,1.502091774,0.497328827,40.1607284,49.8716758,0.22208536,0,50.34610805
44,20244.93932,0.473968991,1.496214795,0.496682087,40.45929449,49.87764148,0.665905781,0,50.46599675
45,20176.55646,0.473486024,1.493455328,0.497382615,40.13290269,49.88331977,0.826437225,0,50.56410971
46,20100.46866,0.473221665,1.487193816,0.497611005,40.14640935,49.88335486,0.686716609,0,50.6794202
47,20105.03813,0.473085727,1.492058135,0.500744881,40.68023105,49.88417971,0.649610241,0,50.6653866
48,20102.25368,0.47352735,1.49262398,0.501153688,40.81300689,49.88573896,0,0.043939225,50.6632975
49,20087.82657,0.473967203,1.48992396,0.500902253,41.11723829,49.88626179,0,0.140222108,50.68075997
50,20190.52356,0.474295238,1.505020572,0.498365498,41.00199886,49.8898576,0,0.089868895,50.50425127
51,20207.79389,0.473913521,1.503246379,0.496956144,40.86474325,49.8934764,0.477207115,0,50.46331994
52,20194.52623,0.473401829,1.498190183,0.497583873,40.73567167,49.89620236,0.804006208,0,50.47209851
53,20104.07689,0.47316952,1.486353848,0.496405282,40.82470756,49.90435195,0.679194512,0,50.61015654
54,20073.48738,0.472830321,1.486739057,0.496229115,41.02475064,49.90988387,0.958255333,0,50.65439656
55,20000.22651,0.472469607,1.480058482,0.496562992,41.15525615,49.91357763,1.017752111,0,50.77159945
56,20050.35664,0.472293216,1.490570746,0.499691419,41.18329149,49.91412739,0.96320271,0,50.68816843
57,20048.02728,0.472656766,1.489447375,0.504331144,40.97638026,49.91673721,0.27664591,0,50.68882166
58,20002.95596,0.473918102,1.481636897,0.504934372,41.10569738,49.91768148,0,0.767914918,50.76074658
59,19862.0419,0.475117164,1.464231872,0.508623458,40.92405794,49.92348973,0,0.927764152,50.99503839
60,19655.2994,0.476930852,1.443075393,0.509197026,41.00377294,49.92797313,0,1.786791948,51.34788723
61,19506.21137,0.478600337,1.434094704,0.50994902,40.89253387,49.93006542,0,1.963560599,51.61803055
62,19514.75238,0.480051295,1.444604984,0.51034138,41.0873953,49.92776828,0,2.183718908,51.63542078
63,19518.16207,0.481125688,1.445978591,0.511328003,41.29017745,49.92135681,0,2.326915678,51.66080291
64,19505.19661,0.48219235,1.441923165,0.508460923,41.1113669,49.91606327,0,2.606276873,51.71321506
65,19415.33869,0.482513051,1.429309148,0.505525517,40.84039162,49.91704407,0,2.022054225,51.89440606
66,19402.69023,0.482276208,1.430453566,0.506109082,40.98393951,49.91769057,0,1.406655257,51.95287142
67,19480.17071,0.482131047,1.442217854,0.504114119,41.40036362,49.9167068,0,1.568639469,51.86217173
68,19520.192,0.481499355,1.443362123,0.503664571,41.64198904,49.91196263,0,1.152375396,51.82884537
69,19504.0117,0.480941092,1.436966324,0.504117936,41.7138374,49.9097466,0,1.073630008,51.88647711
70,19457.52538,0.480656113,1.430273412,0.503159881,41.68046245,49.91192345,0,1.196018962,51.99557359
71,19329.53527,0.480271263,1.415624748,0.504451536,41.23978677,49.9127174,0,1.002626145,52.24326751
72,19166.02307,0.48032094,1.40019404,0.50245393,41.49624867,49.91071475,0,1.311273751,52.55826155
73,19054.6903,0.480028118,1.394029315,0.502357901,41.76587771,49.90723477,0,0.885297038,52.79689381
74,19016.85222,0.479738794,1.395304982,0.504741037,41.75182935,49.89964428,0,0.87713905,52.92035619
75,18988.33514,0.479915549,1.393532796,0.506335564,41.78902834,49.88902923,0,1.427504711,53.03073007
76,19035.87588,0.480378309,1.399362254,0.502137425,41.73007531,49.87935249,0,1.813146276,53.01636883
77,19168.78764,0.479834313,1.413097222,0.498704872,41.52145437,49.87199297,0,0.901311578,52.8569076
78,19349.7322,0.478601441,1.428425105,0.497450371,41.2988011,49.86421033,0,0.1390265,52.60901345
79,19453.34861,0.477287524,1.430807834,0.496465441,41.39413093,49.85895523,0.150986575,0,52.47821289
80,19620.59802,0.476102163,1.444350955,0.495791482,41.20891183,49.85779287,0.38711128,0,52.23489556
81,19859.81224,0.474929192,1.46770844,0.497852815,41.09062065,49.85958104,0.558528986,0,51.86112481
82,20043.89579,0.474268713,1.479687054,0.502715183,40.83049638,49.85900373,0.116845329,0,51.56378181
83,20110.02343,0.474733028,1.47707364,0.505793541,40.84052808,49.86198152,0,0.967809165,51.45093609
84,20211.24334,0.47582972,1.486238218,0.506120389,40.89204905,49.87053204,0,1.676912272,51.27546466
85,20314.94768,0.476709903,1.497208647,0.503384366,41.21382058,49.87890541,0,1.782481155,51.08938106
86,20378.77639,0.476823408,1.501088805,0.50062086,41.04602519,49.88354884,0,1.199170051,50.96301343
87,20517.59535,0.47639169,1.517372919,0.5011834,41.13456842,49.89091604,0,0.594613366,50.707777
88,20590.06137,0.476057566,1.522038615,0.502627113,41.07666376,49.90030538,0,0.724880869,50.55406744
89,20539.7653,0.476119784,1.510215404,0.50281625,40.90488294,49.90893048,0,1.056946806,50.59999618
90,20602.55869,0.476349189,1.521939079,0.50096368,41.25845845,49.92191334,0,1.114046371,50.460963
91,20605.71703,0.476031561,1.522735056,0.500252276,41.20498088,49.93387658,0,0.711781281,50.41714376
92,20681.5558,0.475672042,1.533238927,0.504835392,41.33354698,49.94074054,0,0.556659931,50.25218216
93,20668.97278,0.47623255,1.529430075,0.505609384,40.97230591,49.95289362,0,1.591540181,50.22950073
94,20724.74629,0.476913345,1.537673688,0.505403029,41.00531345,49.96411942,0,1.792669903,50.09387935
95,20708.23929,0.477350847,1.534704159,0.500362895,41.07060436,49.97848151,0,1.776988466,50.07496324
96,20649.62157,0.476752035,1.526665464,0.501999764,40.91727008,49.99036554,0,0.670155032,50.12717581
97,20588.82323,0.476666597,1.522204415,0.502241174,40.91146989,50.00512407,0,1.041264879,50.18676847
98,20455.87146,0.476651945,1.508054724,0.500052108,40.73483657,50.01802143,0,1.106701411,50.37031553
99,20235.34189,0.476295532,1.484318657,0.497962704,40.72326569,50.02867693,0,0.625393614,50.70810096
100,20176.34534,0.475727532,1.488383876,0.496298337,40.56581831,50.039298,0,0.154519602,50.79120934
101,20192.70854,0.47478848,1.497626665,0.493087707,40.80861055,50.04639914,0.232000266,0,50.75269487
102,20148.45177,0.473303097,1.490349229,0.496199574,40.7973981,50.04814212,0.976356442,0,50.81400479
103,20129.22719,0.472829317,1.488105044,0.494849224,40.59114439,50.05545316,0.312648164,0,50.83649357
104,20127.78689,0.472171993,1.489391209,0.49017803,40.23687402,50.06636693,0.638054507,0,50.8306197
105,20209.98125,0.470685802,1.501130848,0.489802311,40.21898633,50.07382564,1.719737999,0,50.68566992
106,20339.15701,0.469326735,1.515889769,0.486969865,39.8347573,50.08149876,1.858483351,0,50.45728266
107,20465.28545,0.467600355,1.526527274,0.487088821,39.87841668,50.09011434,2.553287258,0,50.22569888
108,20502.26637,0.466230573,1.524097515,0.491256744,39.62055479,50.10237792,2.598128505,0,50.13438437
